latitude,longitude,ward,ground_deformation_mm,building_density,hospital_distance_m,school_distance_m,historical_movement_mm,elevation_m,slope_deg
30.54085971302788,79.57251045142908,Singhdhar Ward,40.69,1933,1191,935,29.61,1819,31
30.56273301005197,79.56582753643183,Sunil Ward,18.96,2687,608,100,14.85,1863,20
30.54646949954,79.55847574477622,Sunil Ward,5.89,2526,308,1001,4.13,1809,19
30.55656305710885,79.55873023936532,Manohar Bagh,17.14,2442,1723,271,11.32,1967,16
30.547792776902234,79.56814889197176,Manohar Bagh,34.12,1618,1890,417,28.11,1977,28
30.553001700529446,79.57242775649881,Singhdhar Ward,38.96,2408,425,1260,25.77,1834,15
30.553667756983582,79.57217716060663,Sunil Ward,18.9,2355,1422,972,15.6,1859,44
30.54462136138814,79.56949688864644,Manohar Bagh,27.64,1814,774,1288,23.34,1922,28
30.564239615694117,79.56605079115386,Manohar Bagh,0.0,2272,1115,188,0.0,1871,21
30.559378320584027,79.55210349912487,Ravigram,17.89,1115,1599,899,13.21,1965,15
30.563487473539105,79.55404071785236,Gandhinagar,15.15,2692,1298,1106,10.83,1852,22
30.562370683760694,79.57246385471318,Singhdhar Ward,61.76,2651,1112,297,54.47,1934,33
30.554947499470277,79.56516072649148,Singhdhar Ward,36.25,2146,1742,1412,27.55,1954,18
30.56304685587558,79.55022992629041,Manohar Bagh,11.8,2704,599,1220,9.58,1954,37
30.542212312551296,79.55253678857164,Singhdhar Ward,41.48,2357,1595,616,35.8,1896,36
30.544899571560478,79.5665875442277,Manohar Bagh,11.6,2432,1232,914,9.9,1979,38
30.541130682222764,79.55012653959615,Parsari,40.4,2594,373,943,33.59,1954,33
30.548133258269083,79.55402020128544,Manohar Bagh,16.46,2455,1365,893,11.12,1868,34
30.549716932242237,79.56371834473417,Sunil Ward,0.77,1314,395,401,0.6,1940,22
30.54678372579435,79.56729737994232,Manohar Bagh,26.97,1484,1042,927,20.98,1899,30
30.5607184377288,79.56629903148756,Sunil Ward,18.85,2363,176,1229,15.67,1830,40
30.54891883316734,79.5556067327365,Manohar Bagh,16.79,2428,1063,150,13.78,1839,23
30.547023362742184,79.5678044805337,Parsari,14.28,2136,1478,1469,12.16,1981,37
30.553567402078958,79.55593122718741,Sunil Ward,21.25,2354,616,470,16.52,1948,29
30.54352310562437,79.55813499245399,Parsari,13.74,2860,166,1036,8.71,1824,40
30.56005492451885,79.56866228512796,Parsari,11.58,2622,1879,485,8.57,1961,41
30.541863766091993,79.56624082247617,Singhdhar Ward,29.97,1375,812,1302,20.22,1824,21
30.564672173415016,79.57123058526236,Singhdhar Ward,42.39,1703,759,1284,30.04,1862,25
30.559306119232417,79.56644032230751,Singhdhar Ward,34.83,1607,1434,788,26.72,1885,42
30.544967892038354,79.56420771508338,Singhdhar Ward,50.17,1586,1774,1483,37.66,1800,27
30.54013805292809,79.5523418691957,Singhdhar Ward,31.37,1451,772,1441,20.75,1828,31
30.560386535711373,79.55919289507648,Gandhinagar,0.0,928,1550,385,0.0,1818,32
30.55767143359619,79.55663005919205,Singhdhar Ward,55.4,693,551,1087,41.24,1965,33
30.558225179201024,79.55609974108448,Sunil Ward,7.0,1330,1717,1387,6.01,1902,17
30.55928175866715,79.57432526386881,Ravigram,3.74,2401,211,186,3.34,1831,32
30.54185111629335,79.55982744311667,Singhdhar Ward,37.22,1332,362,858,25.17,1986,43
30.548961643213605,79.57230116387943,Ravigram,1.33,1787,1491,195,1.19,1831,38
30.542896726488127,79.56577846564993,Singhdhar Ward,55.1,951,1573,264,35.39,1941,37
30.56157758564689,79.56987028258854,Singhdhar Ward,28.3,1013,1970,914,22.29,1810,24
30.55558245317069,79.56256592732763,Gandhinagar,29.12,1909,756,570,17.77,1819,19
30.548272450621315,79.56442259711567,Manohar Bagh,24.48,1404,1299,1176,16.85,1885,26
30.54158895875715,79.56231294234547,Ravigram,9.64,1803,642,813,7.42,1858,28
30.547774558042892,79.55488107469495,Gandhinagar,4.33,1020,601,336,3.12,1821,25
30.54812958305067,79.56806130288155,Ravigram,14.03,2551,715,541,12.21,1897,37
30.558240154458453,79.55701930906102,Singhdhar Ward,54.5,2675,1926,141,42.13,1965,16
30.555938936783882,79.55060789916078,Singhdhar Ward,50.4,2200,1226,1097,42.78,1886,35
30.56218031856441,79.56613680739768,Gandhinagar,27.96,2540,870,554,21.59,1944,40
30.55180537312905,79.55442776698517,Ravigram,27.56,1201,683,229,17.91,1906,15
30.542989856148456,79.57351146460883,Parsari,16.49,1293,78,248,14.04,1810,18
30.557831119680575,79.57384821442507,Sunil Ward,8.96,1636,236,906,7.01,1853,16
30.559019626215424,79.57287160975551,Sunil Ward,19.16,905,118,1435,12.73,1835,29
30.55403192993924,79.55925396750638,Gandhinagar,14.05,2262,1317,1057,12.46,1953,16
30.559274179498864,79.55038641541321,Sunil Ward,14.72,1438,1689,141,10.86,1834,17
30.55234488990911,79.5732079640647,Parsari,29.17,1752,157,271,25.97,1901,16
30.55306832073455,79.56070460370793,Ravigram,12.54,1540,379,111,9.56,1882,22
30.550688525458963,79.57416637047609,Sunil Ward,9.73,2250,1558,473,7.7,1999,39
30.540635478168603,79.57409049942723,Gandhinagar,17.14,988,1950,146,10.51,1815,21
30.542697285674834,79.57132523638668,Gandhinagar,20.88,900,1992,1080,15.49,1934,28
30.540785729642167,79.55736122230174,Singhdhar Ward,48.58,2021,876,826,40.74,1915,21
30.555910260281596,79.55962744321505,Parsari,10.3,901,1516,714,6.3,1958,38
30.547858899526908,79.57127841678792,Manohar Bagh,11.52,1621,180,904,8.75,1982,37
30.552714267279118,79.5579230501289,Ravigram,12.53,863,88,596,9.54,1952,27
30.562689161848155,79.55423731866715,Sunil Ward,21.94,1949,1181,993,15.91,1969,16
30.546232305728722,79.56392003156147,Ravigram,17.26,2961,300,858,11.32,1817,17
30.55025957307589,79.57340386935402,Sunil Ward,14.81,771,1513,1362,10.65,1957,39
30.558888778463576,79.56740074491688,Singhdhar Ward,39.45,839,438,676,26.49,1802,27
30.54571995413729,79.56425152925223,Parsari,4.24,2871,195,392,2.6,1992,35
30.54192449774572,79.55242941234427,Singhdhar Ward,35.81,2498,634,498,25.62,1887,18
30.547243786322845,79.56537518066747,Sunil Ward,22.87,1825,1417,110,19.93,1952,21
30.54403053218135,79.57475134625261,Parsari,13.29,1271,1644,1433,10.4,1909,24
30.563242441308564,79.55350210038091,Parsari,13.97,1436,802,605,11.65,1805,19
30.56020300948911,79.56295824130909,Manohar Bagh,10.99,2296,103,1170,7.31,1808,17
30.555835093912762,79.5719343267982,Manohar Bagh,20.05,2414,1563,518,16.59,1861,31
30.561786514754694,79.56851921544386,Sunil Ward,34.63,2763,52,259,25.59,1812,38
30.56009180192248,79.56742539352489,Singhdhar Ward,22.54,1487,1614,1318,19.99,1875,24
30.54466425147215,79.56756210209969,Sunil Ward,7.97,1020,1536,139,7.01,1938,41
30.56231397496225,79.55898727878049,Gandhinagar,7.28,537,377,1374,5.94,1889,32
30.55348355604789,79.55733979610662,Gandhinagar,8.17,953,86,1439,5.17,1827,19
30.560186003879103,79.57023402888696,Gandhinagar,15.35,2662,747,1446,10.81,1897,22
30.562402282498088,79.57025283486698,Gandhinagar,23.24,2496,1822,1412,20.07,1946,30
30.547950086874298,79.57167680796451,Singhdhar Ward,54.33,2204,830,462,36.49,1980,24
30.542751298113192,79.57283101381391,Sunil Ward,18.37,855,240,521,12.07,1932,25
30.54569837906355,79.56278355997152,Singhdhar Ward,44.58,1554,584,525,28.47,1906,35
30.550677694715656,79.56253790736719,Manohar Bagh,19.45,2074,131,455,14.91,1876,43
30.560450369148064,79.56995737947418,Sunil Ward,8.74,2048,1119,1236,6.71,1903,16
30.56151826458141,79.56624909826944,Ravigram,10.08,1199,497,955,8.52,1869,33
30.54017380326328,79.56754917193145,Sunil Ward,17.0,1747,1043,671,11.11,1836,43
30.55276868256444,79.56989481673591,Singhdhar Ward,60.77,777,1269,1015,49.01,1867,41
30.55043527507872,79.57225013354544,Singhdhar Ward,49.9,2948,1979,985,35.12,1919,41
30.54555269526177,79.5584498789213,Gandhinagar,10.17,2757,355,1393,9.07,1828,26
30.542996634183343,79.55938957381599,Manohar Bagh,10.53,2928,509,1130,6.52,1832,20
30.54844037928509,79.55234954849603,Singhdhar Ward,48.77,2626,996,558,39.26,1825,16
30.563572742597813,79.56445700352491,Singhdhar Ward,30.52,538,1344,986,25.87,1874,34
30.548080073300518,79.55089855684491,Gandhinagar,0.0,2323,1203,1073,0.0,1826,17
30.552969765543583,79.56163995045331,Singhdhar Ward,51.5,1368,133,1380,35.86,1965,29
30.55757547397238,79.56356611586769,Ravigram,14.21,2480,1236,1108,11.3,1811,32
30.549090740059484,79.5571635313032,Gandhinagar,14.34,2107,1133,529,9.48,1892,35
30.564294552068024,79.56477083151422,Singhdhar Ward,56.17,1019,640,1150,47.94,1998,17
30.564061182373553,79.55076250624847,Singhdhar Ward,38.5,2059,1901,477,30.22,1845,29
30.546294557395633,79.55093370471873,Parsari,22.5,2753,504,1396,17.6,1883,18
30.55243121264731,79.5705650140165,Sunil Ward,3.11,1513,550,216,2.41,1871,25
30.54752195774542,79.55900476603529,Sunil Ward,17.53,1587,1790,820,10.58,1817,44
30.547121012359437,79.5531765128163,Ravigram,11.38,1106,215,110,9.2,1832,42
30.540922173683864,79.56305608150137,Parsari,0.0,601,1498,878,0.0,1887,23
30.555239108349497,79.56924983882746,Parsari,14.97,1609,141,772,11.5,1959,32
30.55256697558072,79.55539552568742,Gandhinagar,5.73,2543,1938,101,4.36,1957,15
30.54128696878125,79.56557226189548,Sunil Ward,11.23,2741,1239,970,7.42,1921,32
30.546966161605916,79.55213368662484,Singhdhar Ward,55.75,642,1043,205,36.25,1848,22
